Date,Open,High,Low,Close,Adj Close,Volume
2020-11-01,78.940002,88.459999,78.360001,87.330002,83.720856,96178500
2020-12-01,88.400002,90.989998,87.940002,90.720001,86.970764,53449700
2021-01-01,91.599998,94.379997,89.440002,90.440002,87.374603,89179300
2021-02-01,91.489998,96.940002,91.019997,92.510002,89.374435,70171100
2021-03-01,93.839996,96.230003,90.750000,95.150002,91.924957,85007900
2021-04-01,95.849998,100.489998,95.839996,99.190002,95.828033,57503400
2021-05-01,99.830002,100.930000,96.529999,100.650002,97.238541,66476100
2021-06-01,101.570000,101.690002,99.029999,101.190002,97.760239,53030500
2021-07-01,101.279999,102.900002,98.820000,102.110001,99.359818,71411200
2021-08-01,102.699997,104.500000,100.839996,104.330002,101.520020,71459200
2021-09-01,104.699997,105.410004,99.820000,99.919998,97.228806,61655100
2021-10-01,100.389999,105.839996,98.940002,105.309998,102.473625,69994900
2021-11-01,105.639999,107.459999,102.500000,102.879997,100.109070,63436100
2021-12-01,104.150002,106.540001,101.029999,105.779999,102.930977,112681700
2022-01-01,106.120003,106.779999,95.599998,100.970001,99.272064,167379100
2022-02-01,101.190002,103.269997,92.839996,97.879997,96.234032,98559800
2022-03-01,97.599998,102.029999,91.529999,99.779999,98.102081,93598400
2022-04-01,100.489998,101.400002,91.650002,91.730003,90.187447,74053000
2022-05-01,91.690002,94.970001,85.519997,92.139999,90.590553,77287900
2022-06-01,92.779999,93.309998,81.260002,83.889999,82.479286,79353600
2022-07-01,83.500000,89.889999,81.470001,89.820000,89.130959,64763400
2022-08-01,89.230003,93.059998,85.900002,85.900002,85.241035,91725300
2022-09-01,85.209999,88.989998,77.769997,77.830002,77.232941,115638500
2022-10-01,78.660004,83.440002,75.709999,82.769997,82.135040,104607300
2022-11-01,83.980003,89.669998,79.849998,89.669998,88.982109,122598300
2022-12-01,90.089996,90.370003,83.589996,84.879997,84.228851,120645500
2023-01-01,85.510002,91.809998,84.400002,91.250000,91.250000,132519400
2023-02-01,91.019997,93.239998,87.660004,88.220001,88.220001,66445500
2023-03-01,88.529999,91.199997,84.949997,91.160004,91.160004,81612700
2023-04-01,91.129997,91.889999,90.519997,91.500000,91.500000,16613200
